COMPANY_ID,AVG_USD_AMT_ALL_MAKE,AVG_REVENUE_USD_AMT_ALL_MAKE,AVG_NET_REVENUE_USD_AMT_ALL_MAKE,FREQ_ACTIVE_MAKE,PAYTYPE_COUNT_ALL_MAKE,SUPPLIER_PAYMENT_PERCENT_MAKE,RENT_PAYMENT_PERCENT_MAKE,PAYROLL_PAYMENT_PERCENT_MAKE,MONTHS_SINCE_FIRST_PAYMENT_ALL_MAKE,MONTHS_SINCE_LAST_PAYMENT_ALL_MAKE,RSD_PERCENTAGE_MAKE,USE_COLLECT,ENTITY_NAME,AVG_USD_AMT_ALL_COLLECT,AVG_REVENUE_USD_AMT_ALL_COLLECT,AVG_NET_REVENUE_USD_AMT_ALL_COLLECT,FREQ_ACTIVE_COLLECT,PAYTYPE_COUNT_ALL_COLLECT,SUPPLIER_PAYMENT_PERCENT_COLLECT,RENT_PAYMENT_PERCENT_COLLECT,PAYROLL_PAYMENT_PERCENT_COLLECT,MONTHS_SINCE_FIRST_PAYMENT_ALL_COLLECT,MONTHS_SINCE_LAST_PAYMENT_ALL_COLLECT,CU_COMPANY_L2_INDUSTRY_NUMERIC,Combined_Cluster
1052,744.491000000000,10.795119500000,-4.355272350000,1.000000,1.0,0.000000,0.000000,1.000000,58.0,58.0,0.9555958151429195,0,EDUVANTAGE PTE. LTD.,,,,,,,,,,,4,lapsed_3
2279,,,,,,,,,,,0.9555958151429195,1,IMPACT! BRAND COMMUNICATIONS PTE. LTD.,3.722455000000,0E-12,-0.379690410000,1.000000,1.0,1.000000,0.000000,0.000000,31.0,31.0,6,
1984,7977.302959010000,119.662038430000,8.613760870000,1.000000,1.0,1.000000,0.000000,0.000000,35.0,35.0,0.9555958151429195,0,V-CREATE ENTERPRISES PTE. LTD.,,,,,,,,,,,11,lapsed_1
2234,14405.596849508333,369.556646671667,30.365306253333,1.000000,1.0,0.000000,1.000000,0.000000,31.0,26.0,1.044472707574237,0,ACTIVE FITNESS (PTE. LTD.),,,,,,,,,,,2,lapsed_0
784,6789.509756333333,148.990020556667,26.960500746667,1.500000,1.0,0.000000,1.000000,0.000000,1.0,0.0,0.9555958151429195,0,DAES OMNI PTE. LTD.,,,,,,,,,,,2,active_0
2899,16344.503299630000,302.375019650000,75.856187990000,1.000000,1.0,0.000000,0.000000,0.000000,21.0,21.0,0.9555958151429195,0,HEALTH CAPITAL II PTE. LTD.,,,,,,,,,,,2,lapsed_3
2331,2541.259405661429,46.105264071429,15.077006308571,0.538462,3.0,0.000000,0.000000,0.000000,28.0,16.0,2.3641506928786122,0,GL BABY & CHILD PTE. LTD.,,,,,,,,,,,4,lapsed_3
4140,,,,,,,,,,,0.9555958151429195,1,BYMACHT PTE. LTD.,58.747784810000,0.588147890000,-1.034842490000,1.000000,1.0,1.000000,0.000000,0.000000,5.0,5.0,4,
4054,9110.336367000000,163.073308640000,42.593819092000,1.000000,1.0,0.000000,0.000000,1.000000,7.0,3.0,0.0,0,ABBA MAINTENANCE SERVICES PTE. LTD.,,,,,,,,,,,2,active_2
667,1194.548981263846,26.777050528462,9.224816175385,0.650000,2.0,0.769231,0.230769,0.000000,61.0,42.0,1.1536410473369725,0,DIGITUS PTE. LTD.,,,,,,,,,,,4,lapsed_2
796,25340.016819700000,658.837310450000,47.565529990000,1.000000,1.0,0.000000,1.000000,0.000000,61.0,61.0,0.9555958151429195,0,KADDRA PTE. LTD.,,,,,,,,,,,11,lapsed_0
2238,1567.635552882903,29.594237725161,8.862564959032,0.968750,1.0,0.000000,0.000000,1.000000,31.0,0.0,0.4427988261302086,0,FINTALYST CONSULTANCY,,,,,,,,,,,10,active_2
2160,1863.932629945294,43.157267398235,16.960818787647,0.531250,3.0,0.058824,0.882353,0.000000,31.0,0.0,0.8083953110269821,0,KLOBBI PTE. LTD.,,,,,,,,,,,11,active_0
3236,6365.398050000000,16.602149300000,-66.497936120000,1.000000,1.0,0.000000,0.000000,0.000000,16.0,16.0,0.9555958151429195,0,LIGHT BEIJING TECHNOLOGY PTE. LTD.,,,,,,,,,,,11,lapsed_1
2422,22140.417849000000,642.073234357500,332.199329110000,1.000000,1.0,0.000000,0.000000,1.000000,28.0,25.0,1.6099132941025314,0,NK INTERNATIONAL SERVICES PTE. LTD.,,,,,,,,,,,4,lapsed_3
2190,,,,,,,,,,,0.9555958151429195,1,FERGUS CONSULTANCY GROUP PRIVATE LIMITED,2018.191019166667,53.975597500000,12.447393192667,0.967742,1.0,1.000000,0.000000,0.000000,30.0,0.0,4,
1066,20946.256227150435,338.006682601739,53.732505003913,0.418182,2.0,0.217391,0.000000,0.782609,56.0,2.0,1.3915227251432827,0,STIVANA PTE. LTD.,,,,,,,,,,,4,active_2
2640,3722.455000000000,86.174833250000,18.068796570000,2.000000,1.0,0.000000,0.000000,1.000000,24.0,24.0,0.9555958151429195,0,LUMINA BIZWERKZ PTE. LTD.,,,,,,,,,,,4,lapsed_3
4073,3225.023338350000,45.153379150000,3.171531660000,1.000000,1.0,0.000000,0.000000,0.000000,5.0,5.0,0.9555958151429195,0,CREATIVETHINK PTE. LTD.,,,,,,,,,,,10,active_3
2789,8525.389788300000,245.751019499333,113.413277303333,1.153846,2.0,0.000000,0.466667,0.533333,22.0,10.0,1.2488106405460466,0,GREENTECH GLOBAL PTE. LTD.,,,,,,,,,,,1,active_2
869,12956.307022226765,236.000690932794,83.128660736324,1.114754,2.0,0.308824,0.691176,0.000000,61.0,1.0,0.22979667930354136,0,AMPLIFY INVESTMENTS PTE. LTD.,,,,,,,,,,,4,active_0
3461,3808.393829603000,71.820302279000,15.008194069000,0.666667,2.0,0.100000,0.900000,0.000000,14.0,0.0,0.8031155820608644,0,ASCENXIO FINANCIAL PTE. LTD.,,,,,,,,,,,4,active_0
2317,3970.618666666667,85.864628666667,29.367688313333,1.000000,1.0,0.000000,0.000000,1.000000,30.0,28.0,1.8184658868997734,0,MEDIA UNBOXXED PTE. LTD.,,,,,,,,,,,6,lapsed_3
4260,1350.196469416667,23.133817006667,5.429821026667,1.200000,2.0,0.000000,0.833333,0.000000,4.0,0.0,0.0783954356859045,0,LIGHTQUEST PTE. LTD.,,,,,,,,,,,4,active_0
256,6822.366625800000,197.848483250000,16.907390610000,1.000000,1.0,1.000000,0.000000,0.000000,16.0,16.0,0.9555958151429195,0,PINNACLE TRUST PARTNERS PTE. LTD.,,,,,,,,,,,4,lapsed_1
1774,,,,,,,,,,,0.9555958151429195,1,MINISTRY OF DATA PTE. LTD.,521.143700000000,7.742706400000,-3.495385245000,0.076923,1.0,1.000000,0.000000,0.000000,40.0,15.0,11,
2280,,,,,,,,,,,0.9555958151429195,1,ONPOINT CONSULTING PTE. LTD.,1578.832757562500,47.271456045000,5.825642075000,0.275862,1.0,1.000000,0.000000,0.000000,28.0,0.0,4,
407,,,,,,,,,,,0.9555958151429195,1,MOOVAZ INNOVATION PTE. LTD.,1243.844379043750,32.339758426250,5.498996648750,8.000000,1.0,0.000000,0.000000,0.000000,61.0,61.0,2,
3111,9854.110174003333,285.770388713333,35.881984563333,1.000000,1.0,0.000000,1.000000,0.000000,18.0,13.0,1.8090876617344294,0,ZENSUNG SINGAPORE PTE. LTD.,,,,,,,,,,,11,lapsed_0
2337,3584.720442545000,98.581775765000,48.916781155000,0.500000,1.0,1.000000,0.000000,0.000000,29.0,26.0,0.9555958151429195,0,ZHONG LIAN (SINGAPORE) PTE. LTD.,,,,,,,,,,,11,lapsed_1
2004,4608.399290000000,55.300791480000,19.207867800000,1.000000,1.0,0.000000,0.000000,1.000000,35.0,35.0,0.9555958151429195,0,BANKCHAMPS PTE. LTD.,,,,,,,,,,,2,lapsed_3
3081,,,,,,,,,,,0.9555958151429195,1,HOW2DESIGN4U.COM PTE. LTD.,3182.699025000000,82.750174650000,14.275614925000,1.000000,1.0,1.000000,0.000000,0.000000,13.0,12.0,0,
3336,4128.921028815000,76.287992770000,22.321701407500,0.444444,1.0,1.000000,0.000000,0.000000,15.0,7.0,0.9555958151429195,0,EDEN GRACE HUMAN RESOURCES PRIVATE LIMITED,,,,,,,,,,,13,active_1
293,1175.682477928918,19.341928151449,0.638677130820,31.833333,3.0,0.980803,0.017452,0.001745,61.0,44.0,0.5320851815002403,1,TREOO GROUP PTE. LTD.,317.611105516146,5.275261593021,-1.167222295938,2.909091,1.0,1.000000,0.000000,0.000000,44.0,12.0,0,lapsed_2
3669,5257.287376758621,97.032592682414,28.128153585172,4.833333,1.0,0.000000,0.000000,1.000000,11.0,0.0,0.6024215855993292,0,DENNIS GYM PTE. LTD.,,,,,,,,,,,2,active_2
3525,1933.892303236667,23.220674290000,-11.532165590000,0.230769,2.0,0.000000,0.000000,0.000000,13.0,1.0,0.9555958151429195,0,TIGER KING SERVICES PTE. LTD.,,,,,,,,,,,8,active_3
1494,819.706925730000,0E-12,-20.525616870000,1.000000,1.0,0.000000,0.000000,0.000000,45.0,45.0,0.9555958151429195,0,MYCROSS PTE. LTD.,,,,,,,,,,,4,lapsed_3
3918,107.081204088571,2.550413454286,0.907215461429,2.333333,1.0,1.000000,0.000000,0.000000,8.0,6.0,0.21058415541457912,0,WORD MATTERS LANGUAGE SERVICES,,,,,,,,,,,14,active_1
3518,7813.590318723750,148.705562953750,46.445071035000,0.888889,2.0,0.125000,0.875000,0.000000,8.0,0.0,0.36164669403607613,0,THE CORE REFORMERY PTE. LTD.,,,,,,,,,,,10,active_0
3558,,,,,,,,,,,0.9555958151429195,1,PRECISION PERFORMANCE TRAINING,7.444910000000,0.096783830000,-0.186122750000,1.000000,1.0,1.000000,0.000000,0.000000,13.0,13.0,10,
2372,1240.033215539516,23.284616460565,7.367098682581,4.133333,6.0,0.564516,0.000000,0.000000,29.0,0.0,0.4261280035827755,0,REFORM PROJECTS PTE. LTD.,,,,,,,,,,,4,active_1
2267,16597.682354000000,290.881733034444,75.065373105556,1.000000,1.0,1.000000,0.000000,0.000000,8.0,0.0,0.48743835131735763,0,CORPORATE GREETINGS (S) PTE LTD,,,,,,,,,,,9,active_1
3401,12216.509553947368,220.134233578947,47.499897230789,2.923077,2.0,0.894737,0.105263,0.000000,14.0,2.0,0.9088718021100671,0,2WOMBATS PTE. LTD.,,,,,,,,,,,4,active_1
378,3976.004767094412,89.233377452353,8.991042632647,1.789474,1.0,1.000000,0.000000,0.000000,19.0,1.0,2.168801053717908,0,SHILOH PETCARE PTE. LTD.,,,,,,,,,,,2,active_1
3868,,,,,,,,,,,0.9555958151429195,1,HEYSHARK,208.457480000000,0E-12,-0.372245500000,1.500000,1.0,1.000000,0.000000,0.000000,9.0,8.0,10,
547,2963.038985880000,54.928545980000,12.081735310000,0.366667,3.0,0.272727,0.000000,0.000000,29.0,0.0,1.8995178417073015,0,XCEIT SOLUTIONS PTE. LTD.,,,,,,,,,,,4,active_3
1426,2531.269400000000,0E-12,-63.140281710000,1.000000,1.0,0.000000,1.000000,0.000000,48.0,48.0,0.9555958151429195,0,TENACITY VENTURES PTE. LTD.,,,,,,,,,,,4,lapsed_0
4033,3835.368227515000,90.128080460000,2.788118795000,2.000000,1.0,0.000000,0.000000,0.000000,8.0,8.0,0.9555958151429195,0,ESP CLEANING SERVICES PTE. LTD.,,,,,,,,,,,2,active_3
