PRIMARY_SSIC_DESCRIPTION,PREDICTED_L1,CONFIDENCE
MANUFACTURE OF JEWELLERY EXCEPT COSTUME JEWELLERY,Luxury Goods & Jewelry,0.6083574295043945
RETAIL SALE OF TEXTILES,Textiles,0.628690242767334
MONEY-LENDING,Banking,0.5876414179801941
"GENERAL CLEANING SERVICES (INCLUDING CLEANING OF PUBLIC AREAS, OFFICES AND FACTORIES) EXCEPT HOUSEHOLD CLEANING AND ONLINE MARKETPLACES",Facilities Services,0.5073758363723755
OTHER BUSINESS SUPPORT SERVICE ACTIVITIES (E.G. ADMINISTRATION OF LOYALTY PROGRAMMES),Consumer Services,0.5727601647377014
WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,Wholesale,0.539646565914154
"MANUFACTURE OF SADDLERY, HARNESS AND ARTICLES OF LEATHER N.E.C. (EG COIN PURSES, KEY CASES)",Luxury Goods & Jewelry,0.48103928565979004
"MANUFACTURE OF METAL CANS, CONTAINERS AND RELATED PRODUCTS N.E.C. (EG BARRELS, STEEL DRUMS, KEGS)",Mining & Metals,0.5119649767875671
"RETAIL SALE OF ELECTRICAL HOUSEHOLD APPLIANCES, FURNITURE, LIGHTING EQUIPMENT AND OTHER HOUSEHOLD ARTICLES N.E.C.",Business Supplies & Equipment,0.5499598979949951
"PROCESSING OF NATURAL GUMS N.E.C. (EG GUM DAMAR, JELUTONG)",Paper & Forest Products,0.3753780722618103
"RETAIL SALE OF SPORTS APPAREL AND EQUIPMENT (INCLUDING BICYCLES, BOATS AND HEALTHCARE EQUIPMENT)",Retail,0.558300256729126
"FOOD COURTS, COFFEE SHOPS AND CANTEENS (WITH MAINLY FOOD AND BEVERAGE INCOME)",Restaurants,0.5458598732948303
WHOLESALE OF HEALTH SUPPLEMENTS,Wholesale,0.5900496244430542
MANUFACTURE OF FURNITURE OF RATTAN AND CANE,Furniture,0.5600113868713379
MANUFACTURE OF OUTER GARMENTS,Textiles,0.6409380435943604
